"","year","region","crime_rate","pop_density","pol_officer_rate","pov_rate","unemp_rate","med_age"
"200",1998,"virginia",3334.7,171.49856053336,2.22,11.3,2.9,35
"201",1998,"washington",5438.9,85.4447965635842,1.58,10,4.8,35
"202",1998,"west virginia",2298.6,75.1857848632042,1.67,17.6,6.6,38
"203",1998,"wisconsin",3294.1,96.1814633427846,2.32,8.6,3.4,35
"204",1998,"wyoming",3560.1,4.95340095772617,2.46,12,4.8,35
"205",1999,"alabama",3922.2,86.1083743842365,2.32,15.1,4.8,35
"206",1999,"alaska",3731.7,1.08525283410534,1.89,8.6,6.4,32
"207",1999,"arizona",5345.4,42.0443146019957,2.15,15.2,4.4,34
"208",1999,"arkansas",3617.5,48.9870379260682,2.19,16.4,4.5,35
"209",1999,"california",3177.8,212.504728382476,2.23,15.3,5.2,33
"210",1999,"colorado",3722.9,39.101890503138,2.54,8.6,2.9,34
"211",1999,"connecticut",3043.7,677.399380804954,2.36,8.4,3.2,37
"212",1999,"delaware",4101.1,385.677749360614,3.13,10.1,3.5,35
"213",1999,"district of columbia",6439.3,8508.19672131147,7.91,19.7,6.3,34
"214",1999,"florida",5351.6,279.848880493361,2.6,13.3,3.9,38
"215",1999,"georgia",4614.6,134.463647507726,3.05,13.7,4,33
"216",1999,"hawaii",4602.4,184.493227463802,2.46,11.9,5.6,36
"217",1999,"idaho",2904.4,15.1297265289845,1.99,13.9,5.2,33
"218",1999,"illinois",3774.1,218.156962207472,2.78,10.4,4.3,34
"219",1999,"indiana",3391.3,165.681628101478,1.83,8.3,3,35
"220",1999,"iowa",2944,51.3467561521253,1.72,8.7,2.5,36
"221",1999,"kansas",4055.9,32.4358676655708,2.55,10.5,3,35
"222",1999,"kentucky",2577.5,99.6929427161985,1.98,13.8,4.5,35
"223",1999,"louisiana",5014.2,100.353486663912,3.86,18.2,5.1,33
"224",1999,"maine",2762.8,40.596144500243,1.7,10.4,4.1,38
"225",1999,"maryland",4175.8,529.104859335038,2.75,7.6,3.5,35
"226",1999,"massachusetts",2711.5,787.828527685634,2.71,10.9,3.2,36
"227",1999,"michigan",3749.9,173.634459328628,2.05,10.3,3.8,35
"228",1999,"minnesota",3323.2,59.9871886657372,1.74,9.1,2.8,35
"229",1999,"mississippi",3920.5,59.022892953063,2.08,16.8,5.1,33
"230",1999,"missouri",4078.5,79.3636970594212,2.2,11.1,3.4,35
"231",1999,"montana",3863.4,6.06639369040095,1.71,15.9,5.2,37
"232",1999,"nebraska",3678.1,21.6706990296314,1.85,11,2.9,35
"233",1999,"nevada",4083.7,16.4745095896399,2.49,11,4.4,35
"234",1999,"new hampshire",2185.4,133.905675103133,1.83,8.9,2.7,36
"235",1999,"new jersey",2988.2,1097.5872759132,3.71,8.5,4.6,36
"236",1999,"new mexico",5127.6,14.3370356942751,2.33,20.8,5.6,34
"237",1999,"new york",2690.5,385.33372861257,3.33,15.7,5.2,35
