"year","population","region","property_crime","violent_crime","cluster_number"
2014,6549352,"tennessee",3060.6,608.4,"1"
2014,26956958,"texas",3019.4,405.9,"2"
2014,2942902,"utah",2878.5,215.6,"2"
2014,626562,"vermont",1524.4,99.3,"3"
2014,8326289,"virginia",1930.3,196.2,"3"
2014,7061530,"washington",3706.1,285.2,"2"
2014,1850326,"west virginia",2034.7,302,"3"
2014,5757564,"wisconsin",2088.3,290.3,"3"
2014,584153,"wyoming",1964.7,195.5,"3"
2015,4858979,"alabama",2978.9,472.4,"2"
2015,738432,"alaska",2817.6,730.2,"1"
2015,6828065,"arizona",3033.2,410.2,"2"
2015,2978204,"arkansas",3251.5,521.3,"2"
2015,39144818,"california",2618.3,426.3,"2"
2015,5456574,"colorado",2641.5,321,"2"
2015,3590886,"connecticut",1812,218.5,"3"
2015,945934,"delaware",2691,499,"2"
2015,672228,"district of columbia",4676.2,1269.1,"1"
2015,20271272,"florida",2813.2,461.9,"2"
2015,10214860,"georgia",3022.3,378.3,"2"
2015,1431603,"hawaii",3796.2,293.4,"2"
2015,1654930,"idaho",1743.8,215.6,"3"
2015,12859995,"illinois",1988.6,383.8,"3"
2015,6619680,"indiana",2596,387.5,"2"
2015,3123899,"iowa",2047.3,286.1,"3"
2015,2911641,"kansas",2720.1,389.9,"2"
2015,4425092,"kentucky",2177.6,218.7,"3"
2015,4670724,"louisiana",3353.4,539.7,"2"
2015,1329328,"maine",1830,130.1,"3"
2015,6006401,"maryland",2315,457.2,"3"
2015,6794422,"massachusetts",1690.7,390.9,"3"
2015,9922576,"michigan",1885.6,415.5,"3"
2015,5489594,"minnesota",2222.1,242.6,"3"
2015,2992333,"mississippi",2833.6,275.8,"2"
2015,6083672,"missouri",2854.2,497.4,"2"
2015,1032949,"montana",2623.6,349.6,"2"
2015,1896190,"nebraska",2241.1,274.9,"3"
2015,2890845,"nevada",2668.3,695.9,"1"
2015,1330608,"new hampshire",1745.7,199.3,"3"
2015,8958013,"new jersey",1626.5,255.4,"3"
2015,2085109,"new mexico",3697.4,656.1,"2"
2015,19795791,"new york",1604,379.7,"3"
2015,10042802,"north carolina",2750.1,347,"2"
2015,756927,"north dakota",2116.5,239.4,"3"
2015,11613423,"ohio",2587.7,291.9,"2"
