"","year","region","med_age"
"643",2007,"new jersey",38
"644",2007,"new mexico",36
"645",2007,"new york",37
"646",2007,"north carolina",36
"647",2007,"north dakota",37
"648",2007,"ohio",37
"649",2007,"oklahoma",36
"650",2007,"oregon",37
"651",2007,"pennsylvania",39
"652",2007,"rhode island",38
"653",2007,"south carolina",37
"654",2007,"south dakota",36
"655",2007,"tennessee",37
"656",2007,"texas",33
"657",2007,"utah",28
"658",2007,"vermont",40
"659",2007,"virginia",36
"660",2007,"washington",36
"661",2007,"west virginia",40
"662",2007,"wisconsin",37
"663",2007,"wyoming",37
"664",2008,"alabama",37
"665",2008,"alaska",33
"666",2008,"arizona",35
"667",2008,"arkansas",37
"668",2008,"california",34
"669",2008,"colorado",35
"670",2008,"connecticut",39
"671",2008,"delaware",38
"672",2008,"district of columbia",34
"673",2008,"florida",40
"674",2008,"georgia",34
"675",2008,"hawaii",38
"676",2008,"idaho",34
"677",2008,"illinois",36
"678",2008,"indiana",36
"679",2008,"iowa",37
"680",2008,"kansas",36
"681",2008,"kentucky",37
"682",2008,"louisiana",35
"683",2008,"maine",41
"684",2008,"maryland",37
"685",2008,"massachusetts",38
"686",2008,"michigan",38
"687",2008,"minnesota",37
"688",2008,"mississippi",35
"689",2008,"missouri",37
"690",2008,"montana",39
"691",2008,"nebraska",36
"692",2008,"nevada",35
"693",2008,"new hampshire",40
"694",2008,"new jersey",38
"695",2008,"new mexico",36
"696",2008,"new york",37
"697",2008,"north carolina",37
"698",2008,"north dakota",37
"699",2008,"ohio",38
"700",2008,"oklahoma",36
"701",2008,"oregon",38
"702",2008,"pennsylvania",39
"703",2008,"rhode island",38
"704",2008,"south carolina",37
"705",2008,"south dakota",37
"706",2008,"tennessee",37
"707",2008,"texas",33
"708",2008,"utah",28
"709",2008,"vermont",40
"710",2008,"virginia",37
"711",2008,"washington",37
"712",2008,"west virginia",41
"713",2008,"wisconsin",38
"714",2008,"wyoming",36
"715",2009,"alabama",37
"716",2009,"alaska",34
"717",2009,"arizona",35
"718",2009,"arkansas",37
"719",2009,"california",35
"720",2009,"colorado",36
"721",2009,"connecticut",39
"722",2009,"delaware",38
"723",2009,"district of columbia",33
"724",2009,"florida",40
"725",2009,"georgia",35
"726",2009,"hawaii",38
"727",2009,"idaho",34
"728",2009,"illinois",36
"729",2009,"indiana",36
"730",2009,"iowa",38
"731",2009,"kansas",36
"732",2009,"kentucky",37
"733",2009,"louisiana",35
"734",2009,"maine",42
"735",2009,"maryland",37
"736",2009,"massachusetts",38
"737",2009,"michigan",38
"738",2009,"minnesota",37
"739",2009,"mississippi",35
"740",2009,"missouri",37
"741",2009,"montana",39
"742",2009,"nebraska",36
"743",2009,"nevada",36
"744",2009,"new hampshire",40
"745",2009,"new jersey",38
"746",2009,"new mexico",36
"747",2009,"new york",37
"748",2009,"north carolina",37
"749",2009,"north dakota",37
"750",2009,"ohio",38
"751",2009,"oklahoma",36
"752",2009,"oregon",38
"753",2009,"pennsylvania",39
"754",2009,"rhode island",39
"755",2009,"south carolina",37
"756",2009,"south dakota",36
"757",2009,"tennessee",37
"758",2009,"texas",33
"759",2009,"utah",28
"760",2009,"vermont",41
"761",2009,"virginia",37
"762",2009,"washington",37
"763",2009,"west virginia",41
"764",2009,"wisconsin",38
"765",2009,"wyoming",36
"766",2010,"alabama",37
"767",2010,"alaska",33
"768",2010,"arizona",36
"769",2010,"arkansas",37
"770",2010,"california",35
"771",2010,"colorado",36
"772",2010,"connecticut",40
"773",2010,"delaware",38
"774",2010,"district of columbia",33
"775",2010,"florida",40
"776",2010,"georgia",35
"777",2010,"hawaii",38
"778",2010,"idaho",34
"779",2010,"illinois",36
"780",2010,"indiana",36
"781",2010,"iowa",38
"782",2010,"kansas",35
"783",2010,"kentucky",38
"784",2010,"louisiana",35
"785",2010,"maine",42
"786",2010,"maryland",38
"787",2010,"massachusetts",39
"788",2010,"michigan",38
"789",2010,"minnesota",37
"790",2010,"mississippi",36
"791",2010,"missouri",37
"792",2010,"montana",39
"793",2010,"nebraska",36
"794",2010,"nevada",36
"795",2010,"new hampshire",41
"796",2010,"new jersey",38
"797",2010,"new mexico",36
"798",2010,"new york",37
"799",2010,"north carolina",37
"800",2010,"north dakota",36
"801",2010,"ohio",38
"802",2010,"oklahoma",36
"803",2010,"oregon",38
"804",2010,"pennsylvania",40
"805",2010,"rhode island",39
"806",2010,"south carolina",37
"807",2010,"south dakota",36
"808",2010,"tennessee",38
"809",2010,"texas",33
"810",2010,"utah",29
"811",2010,"vermont",41
"812",2010,"virginia",37
"813",2010,"washington",37
"814",2010,"west virginia",41
"815",2010,"wisconsin",38
"816",2010,"wyoming",36
"817",2011,"alabama",38
"818",2011,"alaska",33
"819",2011,"arizona",36
"820",2011,"arkansas",37
"821",2011,"california",35
"822",2011,"colorado",36
"823",2011,"connecticut",40
"824",2011,"delaware",39
"825",2011,"district of columbia",33
"826",2011,"florida",41
"827",2011,"georgia",35
"828",2011,"hawaii",38
"829",2011,"idaho",34
"830",2011,"illinois",36
"831",2011,"indiana",37
"832",2011,"iowa",38
"833",2011,"kansas",36
"834",2011,"kentucky",38
"835",2011,"louisiana",35
"836",2011,"maine",43
"837",2011,"maryland",38
"838",2011,"massachusetts",39
"839",2011,"michigan",39
"840",2011,"minnesota",37
"841",2011,"mississippi",36
"842",2011,"missouri",38
"843",2011,"montana",39
"844",2011,"nebraska",36
"845",2011,"nevada",36
"846",2011,"new hampshire",41
"847",2011,"new jersey",39
"848",2011,"new mexico",36
"849",2011,"new york",38
"850",2011,"north carolina",37
"851",2011,"north dakota",36
"852",2011,"ohio",39
"853",2011,"oklahoma",36
"854",2011,"oregon",38
"855",2011,"pennsylvania",40
"856",2011,"rhode island",39
"857",2011,"south carolina",38
"858",2011,"south dakota",36
"859",2011,"tennessee",38
"860",2011,"texas",33
"861",2011,"utah",29
"862",2011,"vermont",41
"863",2011,"virginia",37
"864",2011,"washington",37
"865",2011,"west virginia",41
"866",2011,"wisconsin",38
"867",2011,"wyoming",36
"868",2012,"alabama",38
"869",2012,"alaska",33
"870",2012,"arizona",36
"871",2012,"arkansas",37
"872",2012,"california",35
"873",2012,"colorado",36
"874",2012,"connecticut",40
"875",2012,"delaware",39
"876",2012,"district of columbia",33
"877",2012,"florida",41
"878",2012,"georgia",35
"879",2012,"hawaii",38
"880",2012,"idaho",35
"881",2012,"illinois",37
"882",2012,"indiana",37
"883",2012,"iowa",38
"884",2012,"kansas",35
"885",2012,"kentucky",38
"886",2012,"louisiana",35
"887",2012,"maine",43
"888",2012,"maryland",38
"889",2012,"massachusetts",39
"890",2012,"michigan",39
"891",2012,"minnesota",37
"892",2012,"mississippi",36
"893",2012,"missouri",38
"894",2012,"montana",39
"895",2012,"nebraska",36
"896",2012,"nevada",37
"897",2012,"new hampshire",41
"898",2012,"new jersey",39
"899",2012,"new mexico",36
"900",2012,"new york",38
